"А","Б","В","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26"
"производство машин и оборудования, не включенные в другие группировки","С 28","1227","323,203","45,948","316,257","308,891","61,885","8,670","76,472","2,559","170,504","163,681","0","0","0","30","2,286","2,000","286","1,607","3,473","0","0","81,697","59,387","5,596","16,714","Х"
"производство автотранспортных средств, прицепов и полуприцепов","С 29","1233","4,405","916","4,081","2,213","291","33","939","0","983","866","0","0","0","0","110","103","7","12","1,746","0","0","1,277","928","110","239","Х"
"производство прочих транспортных средств и оборудования","С 30","1237","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"из строки 1237:строительство кораблей, судов и лодок","С 30.1","1238","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"производство летательных аппаратов,    включая космические, и     соответствующего оборудования","С 30.3","1240","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","Х"
"прочие производства","С 31-33","1243","45,643","23,801","49,229","29,804","5,839","250","16,725","12","7,160","7,160","0","1","0","79","437","202","236","218","18,770","225","189","30,276","22,368","1,891","6,017","Х"
"Обеспечение электрической энергией, газом и паром; кондиционирование воздуха - всего (стр.1255> или =стр.1256+1257+1258)","D 35","1255","663,207","212,438","548,750","444,792","193,395","4,840","143,225","207","106,832","106,832","0","320","0","1,020","94,264","92,691","1,574","1,355","8,339","0","0","210,104","154,373","19,228","36,503","Х"
"из строки 1255:производство, передача и распределение электроэнергии","D 35.1","1256","439,269","120,318","303,435","259,366","159,041","0","85,417","207","14,896","14,896","0","0","0","12","43,060","42,104","956","440","569","0","0","110,594","81,109","10,096","19,389","Х"
"производство и распределение газообразного топлива","D 35.2","1257","185,316","66,990","212,770","161,076","32,267","4,840","36,737","0","91,789","91,789","0","0","0","283","50,254","49,680","574","915","525","0","0","81,298","59,773","7,684","13,841","Х"
"производство, передача и распределение пара и  горячей воды; кондиционирование воздуха","D 35.3","1258","38,622","25,130","32,545","24,350","2,087","0","21,071","0","147","147","0","320","0","725","950","906","44","0","7,245","0","0","18,211","13,491","1,447","3,273","Х"
"Водоснабжение, водоотведение, организация сбора и утилизации отходов, деятельность и ликвидация загрязнений-  всего (стр.1259=стр.1261+1262+1263) в том числе:","Е 36-39","1259","138,064","113,652","126,582","102,372","2,329","296","52,951","87","41,702","41,702","0","4,589","139","801","7,196","6,303","893","441","16,573","55","9","97,982","71,819","8,361","17,802","Х"
"забор, очистка и распределение воды","Е 36","1261","79,967","59,522","74,116","64,321","41","0","21,938","0","40,104","40,104","0","1,886","0","352","6,580","6,332","248","2","3,213","0","0","50,835","37,484","4,648","8,703","Х"
"сбор и обработка сточных вод","Е 37","1262","5,060","5,119","3,403","2,112","0","0","1,414","0","26","26","0","523","0","149","14","0","14","0","1,277","0","0","3,579","2,656","279","644","Х"
"сбор,  обработка и утилизация отходов; обработка вторичного сырья, предоставление услуг в области ликвидации последствий загрязнений  и прочих услуг, связанных с удалением отходов","Е 38-39","1263","53,037","49,011","49,063","35,939","2,288","296","29,599","87","1,572","1,572","0","2,180","139","300","602","-29","631","439","12,083","55","9","43,568","31,679","3,434","8,455","Х"
"Строительство","F 41-43","1270","1,333,353","208,383","1,289,925","920,779","213,822","28,081","211,285","3,082","494,350","494,084","0","487","297","835","31,300","21,532","9,769","19,139","318,707","700","798","315,346","234,786","18,122","62,438","Х"
"Торговля оптовая и розничная; ремонт автотранспортных средств и мотоциклов - всего в том числе:","G 45-47","1295","5,047,473","968,776","5,326,374","4,508,632","2,189,639","99,636","1,002,770","29,101","1,308,618","1,290,541","0","5,941","5,915","1,664","241,139","233,950","7,188","19,452","557,151","41,112","1,805","833,619","625,626","47,758","160,235","Х"
"торговля оптовая, кроме оптовой торговли автотранспортными средствами и мотоциклами","G 46","1301","2,288,568","313,549","2,604,893","2,285,659","1,320,330","36,147","280,644","8,404","678,423","662,527","0","5,916","5,915","346","196,081","190,788","5,293","4,849","118,304","812","230","252,148","182,717","14,239","55,192","Х"
"Транспортировка и хранение - всего в том числе:","H 49-53","1320","1,057,456","671,610","942,753","721,760","99,696","11,798","318,378","15","302,360","302,360","-186","952","946","560","90,681","72,167","18,514","2,488","127,824","3,963","1,669","629,161","469,123","49,308","110,730","Х"
"деятельность сухопутного и трубопроводного транспорта","H 49","1321","864,582","573,007","773,912","579,009","87,008","10,693","260,659","0","229,870","229,870","0","952","946","520","78,975","61,753","17,222","1,331","114,597","3,838","1,660","541,487","403,869","43,047","94,571","Х"
"деятельность легкового такси и арендованных лкгковых автомобилей с водителем","Н 49.32","1326","4,224","9,000","4,999","198","0","0","156","0","5","5","0","0","0","37","0","0","0","0","4,801","146","1,210","4,419","3,567","49","803","Х"
"деятельность автомобильного грузового транспорта и услуги по перевозкам","Н 49.4","1327","581,386","105,318","553,120","435,184","86,897","10,432","124,939","0","221,944","221,944","0","952","946","452","15,975","2,275","13,699","728","101,233","3,325","417","131,193","99,671","7,043","24,479","Х"
"деятельность трубопроводного транспорта","H 49.5","1328","157,331","418,118","131,753","106,536","0","0","106,536","0","0","0","0","0","0","0","24,970","23,182","1,788","247","0","0","0","367,330","271,630","32,881","62,819","Х"
"деятельность водного транспорта","H 50","1329","0","81","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","42","28","0","14","Х"
"складское хозяйство и вспомогательная транспортная деятельность","H 52","1340","138,325","50,046","116,328","93,908","4,386","423","31,393","13","58,091","58,091","0","0","0","38","9,202","8,378","824","1,040","12,178","125","9","43,655","32,542","2,327","8,786","Х"
"деятельность почтовой связи и курьерская деятельность","H 53","1345","44,470","46,132","43,375","40,118","7,021","490","24,609","0","8,486","8,486","0","0","0","2","2,091","1,971","120","117","1,049","0","0","39,128","28,746","3,727","6,655","Х"
"Деятельность гостиниц и предприятий общественного питания - всего из нее:","I 55- 56","1350","179,143","66,745","159,580","55,850","-1,739","146","52,214","89","5,155","5,155","0","7","0","213","4,998","4,842","156","3,427","95,305","4,845","350","86,181","64,718","5,362","16,101","Х"
"деятельность гостиниц и прочих мест  для временного проживания","I 55.1","1355","38,933","11,963","39,849","10,500","10","1","9,806","60","609","609","0","0","0","75","992","979","13","1,790","26,567","885","8","18,649","13,885","1,042","3,722","Х"
"Деятельность в области информации и связи - всего в том числе:","J 58-63","1363","154,716","98,439","149,513","88,195","16,888","186","64,076","441","7,159","7,159","0","0","0","72","7,367","7,192","175","274","53,677","721","532","91,716","68,275","6,779","16,662","Х"
"деятельность издательская","J 58","1364","18,030","29,567","15,002","11,125","38","5","11,059","0","27","27","0","0","0","1","92","49","43","36","3,749","84","6","25,786","19,097","2,302","4,387","Х"
"деятельность в сфере телекоммуникаций","J 61","1373","61,118","20,157","61,736","46,915","15,054","192","24,692","0","7,132","7,132","0","0","0","37","6,962","6,904","57","93","7,766","6","86","22,386","16,075","1,476","4,835","Х"
"Деятельность финансовая и страховая – всего (стр.1382=стр.1383+1388+1395) в том числе:","K 64-66","1382","215,827","35,755","190,127","158,778","39,074","1,174","96,784","442","21,215","21,215","0","0","0","1,705","21,692","21,373","320","1,949","7,708","27","58","27,863","19,465","2,548","5,850","Х"
"деятельность по предоставлению финансовых услуг, кроме услуг по страхованию и  пенсионному обеспечению","K 64","1383","160,051","21,099","137,076","109,056","25,266","-77","81,981","156","502","502","0","0","0","1,307","21,566","21,253","313","1,949","4,505","27","0","16,255","11,297","2,234","2,724","Х"
"страхование, перестрахование, деятельность негосударственных пенсионных фондов, кроме обязательного социального обеспечения","K 65","1388","13,353","531","10,983","10,704","5,092","0","5,259","0","0","0","0","0","0","353","126","120","7","0","153","0","53","250","210","0","40","Х"
"деятельность вспомогательная в сфере финансовых услуг и страхования","K 66","1395","42,423","14,125","42,068","39,018","8,716","1,251","9,544","286","20,713","20,713","0","0","0","45","0","0","0","0","3,050","0","5","11,358","7,958","314","3,086","Х"
